supplier_id,company_name,company_size,industry,location,email,phone,website,description,employee_count,revenue_range,years_in_business,certifications_count,overall_score,performance_category,risk_level,avg_delivery_reliability,avg_cost_efficiency,avg_defect_rate,avg_quality_score,avg_customer_satisfaction,total_records,date_range
SUP_001,Fowler Corp,Medium,Machinery,Europe,contact@fowlercorp.com,+1-920-951-6527,www.fowlercorp.com,Leading Machinery company specializing in high-quality solutions and excellent customer service.,454,$10M - $100M,16,5,76.1,Good,Medium,74.9,65.3,1.75,79.9,7.7,120,2015-01-01 to 2024-12-01
SUP_002,Johnson Inc,Small,Pharmaceuticals,North America,contact@johnsoninc.com,+1-526-904-4672,www.johnsoninc.com,Leading Pharmaceuticals company specializing in high-quality solutions and excellent customer service.,87,$1M - $10M,8,3,45.8,Poor,High,39.7,35.6,4.79,54.7,4.6,119,2015-01-01 to 2024-12-01
SUP_003,Sanchez-Taylor,Medium,Chemicals,Middle East,contact@sancheztaylor.com,+1-618-224-5839,www.sancheztaylor.com,Leading Chemicals company specializing in high-quality solutions and excellent customer service.,100,$10M - $100M,11,4,80.9,Good,Medium,61.5,88.2,1.63,92.0,8.0,120,2015-01-01 to 2024-12-01
SUP_004,Garcia Ltd,Medium,Pharmaceuticals,Asia Pacific,contact@garcialtd.com,+1-598-757-2195,www.garcialtd.com,Leading Pharmaceuticals company specializing in high-quality solutions and excellent customer service.,313,$10M - $100M,8,6,67.6,Fair,High,66.2,59.4,1.77,63.6,6.7,120,2015-01-01 to 2024-12-01
SUP_005,"Mcclain, Miller and Henderson",Small,Pharmaceuticals,North America,contact@mcclainmillerandhenderson.com,+1-730-526-1554,www.mcclainmillerandhenderson.com,Leading Pharmaceuticals company specializing in high-quality solutions and excellent customer service.,86,$1M - $10M,11,3,79.5,Good,Medium,78.0,79.3,1.66,77.3,7.9,120,2015-01-01 to 2024-12-01
SUP_006,Davis and Sons,Small,Construction,Middle East,contact@davisandsons.com,+1-323-560-1877,www.davisandsons.com,Leading Construction company specializing in high-quality solutions and excellent customer service.,94,$1M - $10M,16,4,60.1,Fair,High,72.9,66.1,4.81,48.2,6.0,120,2015-01-01 to 2024-12-01
SUP_007,"Guzman, Hoffman and Baldwin",Medium,Food & Beverage,Middle East,contact@guzmanhoffmanandbaldwin.com,+1-383-768-7941,www.guzmanhoffmanandbaldwin.com,Leading Food & Beverage company specializing in high-quality solutions and excellent customer service.,116,$10M - $100M,12,6,76.1,Good,Medium,86.5,75.7,1.68,60.3,7.5,119,2015-01-01 to 2024-12-01
SUP_008,Miles Inc,Small,Chemicals,North America,contact@milesinc.com,+1-718-545-9242,www.milesinc.com,Leading Chemicals company specializing in high-quality solutions and excellent customer service.,43,$1M - $10M,19,7,61.3,Fair,High,86.5,31.9,1.64,40.3,6.2,119,2015-01-01 to 2024-12-01
SUP_009,Robinson-Lawrence,Small,Food & Beverage,Europe,contact@robinsonlawrence.com,+1-466-882-5228,www.robinsonlawrence.com,Leading Food & Beverage company specializing in high-quality solutions and excellent customer service.,98,$1M - $10M,24,7,68.3,Fair,High,64.7,47.4,1.81,76.6,7.0,120,2015-01-01 to 2024-12-01
SUP_010,Blake and Sons,Small,Textiles,Middle East,contact@blakeandsons.com,+1-419-249-8385,www.blakeandsons.com,Leading Textiles company specializing in high-quality solutions and excellent customer service.,91,$1M - $10M,15,7,66.6,Fair,High,78.0,71.3,1.83,40.0,6.4,120,2015-01-01 to 2024-12-01
